,subject,age_group_x,roi,triplet,comparison,within_sim,across_sim,difference,trials,triplet_accuracy,avg_RT,avg_repetitions,age,sex,scanner
152,temple035,adolescent,sl-AC_age_hip,1,AC,0.3060841818808094,0.073524326135423,0.2325598557453863,8,0.375,8.1038625,1.0,11.27,F,skyra
153,temple035,adolescent,sl-AC_age_hip,2,AC,0.2879275475154406,0.0282289294327415,0.259698618082699,8,0.125,7.96585,1.25,11.27,F,skyra
154,temple035,adolescent,sl-AC_age_hip,3,AC,-0.5033113962395963,-0.089759949887803,-0.4135514463517932,8,0.375,7.8780625,1.0,11.27,F,skyra
155,temple035,adolescent,sl-AC_age_hip,4,AC,-0.1780150655689862,-0.0105874733198761,-0.16742759224911,8,0.75,8.7277625,1.0,11.27,F,skyra
156,temple036,adolescent,sl-AB_age_gm,1,AB,-0.1810225626656055,-0.1305546688860048,-0.0504678937796007,8,0.625,8.352525,1.0,11.04,M,skyra
157,temple036,adolescent,sl-AB_age_gm,2,AB,-0.2405494052175426,-0.1729588868713488,-0.0675905183461937,8,1.0,8.3939625,1.0,11.04,M,skyra
158,temple036,adolescent,sl-AB_age_gm,3,AB,-0.2755350099197347,-0.1917679600370011,-0.0837670498827335,8,1.0,9.4795,1.125,11.04,M,skyra
159,temple036,adolescent,sl-AB_age_gm,4,AB,-0.1068002702986886,-0.0836100413220496,-0.023190228976639,8,1.0,8.16135,1.0,11.04,M,skyra
160,temple036,adolescent,sl-AB_group_hip,1,AB,-0.3911699931065442,0.0012899530126046,-0.3924599461191488,8,0.625,8.352525,1.0,11.04,M,skyra
161,temple036,adolescent,sl-AB_group_hip,2,AB,0.1668396375550151,-0.0991585928391037,0.2659982303941189,8,1.0,8.3939625,1.0,11.04,M,skyra
162,temple036,adolescent,sl-AB_group_hip,3,AB,-0.1805619288483719,-0.0739465015512249,-0.106615427297147,8,1.0,9.4795,1.125,11.04,M,skyra
163,temple036,adolescent,sl-AB_group_hip,4,AB,-0.2022602109211102,-0.0551468137104566,-0.1471133972106535,8,1.0,8.16135,1.0,11.04,M,skyra
164,temple036,adolescent,sl-AC_age_hip,1,AC,0.167716882174305,0.2126269024137559,-0.0449100202394509,8,0.625,8.352525,1.0,11.04,M,skyra
