,subject,triplet,trials,triplet_accuracy,avg_RT,avg_repetitions,age,accuracy,age_demeaned,acc_demeaned,sex,scanner,age_group
230,temple098,3,8,0.875,8.970575,1.5,8.44,0.65625,-5.94,-0.11181,M,prisma,7-9 years
231,temple098,4,8,0.5,8.43625,1.375,8.44,0.65625,-5.94,-0.11181,M,prisma,7-9 years
232,temple099,1,8,1.0,8.1625875,1.125,19.88,0.96875,5.5,0.20069,F,prisma,adults
233,temple099,2,8,1.0,8.2207125,1.125,19.88,0.96875,5.5,0.20069,F,prisma,adults
234,temple099,3,8,1.0,8.3365875,1.0,19.88,0.96875,5.5,0.20069,F,prisma,adults
235,temple099,4,8,0.875,8.2729375,1.125,19.88,0.96875,5.5,0.20069,F,prisma,adults
236,temple103,1,8,1.0,9.1519125,1.0,12.21,1.0,-2.17,0.23194,M,prisma,10-12 years
237,temple103,2,8,1.0,9.7648625,1.375,12.21,1.0,-2.17,0.23194,M,prisma,10-12 years
238,temple103,3,8,1.0,9.1939625,1.875,12.21,1.0,-2.17,0.23194,M,prisma,10-12 years
239,temple103,4,8,1.0,9.383775,1.625,12.21,1.0,-2.17,0.23194,M,prisma,10-12 years
240,temple105,1,8,1.0,6.308425,1.0,18.56,1.0,4.18,0.23194,M,prisma,adults
241,temple105,2,8,1.0,7.5462875,1.125,18.56,1.0,4.18,0.23194,M,prisma,adults
242,temple105,3,8,1.0,7.7039125,1.25,18.56,1.0,4.18,0.23194,M,prisma,adults
243,temple105,4,8,1.0,8.0820375,1.0,18.56,1.0,4.18,0.23194,M,prisma,adults
244,temple106,1,8,1.0,8.532375,1.0,20.19,0.96875,5.81,0.20069,M,prisma,adults
245,temple106,2,8,1.0,8.3306625,1.0,20.19,0.96875,5.81,0.20069,M,prisma,adults
246,temple106,3,8,1.0,8.2832625,1.0,20.19,0.96875,5.81,0.20069,M,prisma,adults
247,temple106,4,8,0.875,8.3000625,1.0,20.19,0.96875,5.81,0.20069,M,prisma,adults
248,temple107,1,8,0.875,8.4001625,1.75,9.14,0.875,-5.24,0.10694,F,prisma,7-9 years
249,temple107,2,8,1.0,8.554825,1.5,9.14,0.875,-5.24,0.10694,F,prisma,7-9 years
250,temple107,3,8,1.0,7.926575,1.125,9.14,0.875,-5.24,0.10694,F,prisma,7-9 years
251,temple107,4,8,0.625,8.700075,1.125,9.14,0.875,-5.24,0.10694,F,prisma,7-9 years
252,temple108,1,8,1.0,5.348975,1.0,18.93,1.0,4.55,0.23194,M,prisma,adults
253,temple108,2,8,1.0,8.6936125,1.0,18.93,1.0,4.55,0.23194,M,prisma,adults
254,temple108,3,8,1.0,4.7389875,1.0,18.93,1.0,4.55,0.23194,M,prisma,adults
255,temple108,4,8,1.0,3.910975,1.0,18.93,1.0,4.55,0.23194,M,prisma,adults
256,temple109,1,8,1.0,9.1674375,1.125,11.76,0.90625,-2.62,0.13819,F,prisma,10-12 years
